Date,Company,Ticker Symbol,Currency,Open,High,Low,Close,Adj Close,Volume
5/1/2004,Sony Interactive Entertainment,SONY,JPY,7.70,7.87,6.79,7.37,4.52,57659000.00
6/1/2004,Sony Interactive Entertainment,SONY,JPY,7.33,7.66,7.07,7.61,4.67,36042500.00
7/1/2004,Sony Interactive Entertainment,SONY,JPY,7.61,7.70,6.81,6.93,4.25,51175500.00
8/1/2004,Sony Interactive Entertainment,SONY,JPY,7.00,7.05,6.47,6.93,4.25,59237500.00
9/1/2004,Sony Interactive Entertainment,SONY,JPY,6.92,7.30,6.68,6.88,4.22,43426000.00
10/1/2004,Sony Interactive Entertainment,SONY,JPY,6.88,7.08,6.75,6.97,4.35,44394000.00
11/1/2004,Sony Interactive Entertainment,SONY,JPY,6.93,7.36,6.90,7.27,4.54,47199000.00
12/1/2004,Sony Interactive Entertainment,SONY,JPY,7.17,7.84,7.15,7.79,4.86,82354000.00
1/1/2005,Sony Interactive Entertainment,SONY,JPY,7.79,7.91,7.25,7.40,4.62,90888500.00
2/1/2005,Sony Interactive Entertainment,SONY,JPY,7.38,7.66,7.29,7.56,4.71,48548500.00
3/1/2005,Sony Interactive Entertainment,SONY,JPY,7.61,8.36,7.57,8.00,4.99,196486500.00
4/1/2005,Sony Interactive Entertainment,SONY,JPY,7.99,8.16,7.15,7.34,4.58,100902500.00
5/1/2005,Sony Interactive Entertainment,SONY,JPY,7.45,7.69,7.26,7.45,4.65,64166500.00
6/1/2005,Sony Interactive Entertainment,SONY,JPY,7.43,7.53,6.88,6.89,4.30,87476500.00
7/1/2005,Sony Interactive Entertainment,SONY,JPY,6.93,7.17,6.48,6.50,4.06,77465000.00
8/1/2005,Sony Interactive Entertainment,SONY,JPY,6.53,6.92,6.51,6.72,4.19,64027500.00
9/1/2005,Sony Interactive Entertainment,SONY,JPY,6.70,7.35,6.60,6.64,4.14,78716500.00
10/1/2005,Sony Interactive Entertainment,SONY,JPY,6.62,6.93,6.36,6.56,4.16,58607000.00
11/1/2005,Sony Interactive Entertainment,SONY,JPY,6.58,7.49,6.49,7.40,4.70,60590500.00
12/1/2005,Sony Interactive Entertainment,SONY,JPY,7.44,8.26,7.24,8.16,5.18,74361500.00
1/1/2006,Sony Interactive Entertainment,SONY,JPY,8.25,10.23,8.18,9.78,6.20,168617500.00
2/1/2006,Sony Interactive Entertainment,SONY,JPY,9.51,9.99,9.11,9.38,5.95,87482500.00
3/1/2006,Sony Interactive Entertainment,SONY,JPY,9.40,9.60,8.88,9.21,5.85,88713000.00
4/1/2006,Sony Interactive Entertainment,SONY,JPY,9.39,10.46,9.14,9.79,6.22,55812000.00
5/1/2006,Sony Interactive Entertainment,SONY,JPY,9.72,10.18,8.95,9.03,5.74,62377500.00
6/1/2006,Sony Interactive Entertainment,SONY,JPY,8.78,9.38,8.13,8.81,5.60,91073000.00
7/1/2006,Sony Interactive Entertainment,SONY,JPY,8.76,9.28,7.86,9.20,5.85,74043500.00
8/1/2006,Sony Interactive Entertainment,SONY,JPY,9.04,9.23,8.45,8.68,5.52,76201000.00
9/1/2006,Sony Interactive Entertainment,SONY,JPY,8.70,8.82,8.05,8.07,5.13,66351500.00
10/1/2006,Sony Interactive Entertainment,SONY,JPY,7.97,8.47,7.45,8.20,5.23,190528000.00
11/1/2006,Sony Interactive Entertainment,SONY,JPY,8.28,8.28,7.70,7.88,5.03,132560000.00
12/1/2006,Sony Interactive Entertainment,SONY,JPY,7.95,8.76,7.85,8.57,5.46,98152000.00
1/1/2007,Sony Interactive Entertainment,SONY,JPY,8.58,9.60,8.55,9.27,5.91,168689500.00
2/1/2007,Sony Interactive Entertainment,SONY,JPY,9.43,10.67,9.43,10.35,6.60,128733500.00
3/1/2007,Sony Interactive Entertainment,SONY,JPY,10.32,10.65,9.66,10.10,6.44,128043000.00
4/1/2007,Sony Interactive Entertainment,SONY,JPY,10.05,11.11,9.95,10.65,6.86,86391000.00
5/1/2007,Sony Interactive Entertainment,SONY,JPY,10.59,11.97,10.50,11.54,7.43,82590500.00
6/1/2007,Sony Interactive Entertainment,SONY,JPY,11.44,11.47,10.09,10.27,6.62,90074000.00
7/1/2007,Sony Interactive Entertainment,SONY,JPY,10.52,10.82,10.06,10.55,6.79,94082000.00
8/1/2007,Sony Interactive Entertainment,SONY,JPY,10.37,10.48,8.77,9.56,6.16,139830000.00
